id, failed_login_attempts ,data_transfer_mb,connection_duration_sec,distinct_ip_accessed,request_frequency_per_min
1,12,713.82,147.4,43,200.3
2,0,37.14,1404.5,5,12.83
3,16,347.28,102.5,46,191.9
4,0,57.16,1556.5,3,9.68
5,1,43.9,1073.9,2,9.18
6,12,722.31,145.1,28,225.57
7,20,635.25,146.7,48,227.72
8,2,45.57,1008.7,1,9.35
9,1,41.16,1281.5,2,12.19
10,1,287.58,3250.8,8,17.56
11,0,50.76,689.2,4,5.1
12,1,47.22 MB,1066.1,2,9.4
13,0,417.74,4510.0,9,12.51
14,0,40.73,1576.7,2,6.83
15,14,557.34,176.9,41,166.48
16,-999,714.16,114.6,40,163.73
17,0,346.88,5167.8,5,27.45
18,0,32.05,915.2,7,9.16
19,17,578.17,139.6,49,207.48
20,1,342.07,3165.1,7,14.3
21,0,372.7,5383.1,6,17.54
22,2,270.97,4880.1,8,16.8
23,0,16.65 MB,1409.5,4,7.14
24,16,912.89,205.4,45,167.14
25,0,53.89,1481.5,4,9.8
26,1,199.6,3639.8,6,20.31
27,1,187.94,3263.4,4,21.84
28,0,15.18,1049.4,7,6.27
29,1,12.93,1636.0,3,11.45
30,13,594.45,177.1,39,178.92
31,0,386.1,4499.7,5,24.15
32,19,766.82,189.2,50,215.16
33,0,269.82,3767.0,4,24.63
34,0,25.32,1244.0,4,12.55
35,0,25.53,1205.5,1,11.75
36,13,830.22,160.9,54,204.14
37,0,301.77,5347.0,5,23.96
38,1,62.85,,6,13.08
39,0,33.6,540.4,5,11.72
40,1,23.78,1337.8,2,6.9
41,16,804.22,183.5,34,198.12
42,1,25.34,1466.9,1,10.05
43,0,407.72,6356.0,8,13.83
44,0,62.44,1849.0,2,5.12
45,0,24.47,1255.5,1,9.6
46,0,68.64,1045.2,1,15.95
47,0,49.68,,6,12.09
48,1,41.11,1341.8,3,8.35
49,0,278.27,3013.7,6,18.88
50,3,45.5,1256.0,3,9.52
51,0,24.44,1188.1,2,9.52
52,0,28.39,792.0,1,10.11
53,2,33.82,1028.8,5,9.87
54,0,384.58,4361.8,5,22.75
55,0,50.89,1256.0,5,9.75
56,1,56.79,1386.2 s,5,12.67
57,2,44.9,786.2,3,3.18
58,1,8.99,1012.6,7,14.37
59,2,40.84,1669.7,1,10.49
60,0,19.02 MB,1228.8,2,14.71
61,1,412.35 MB,3626.3,7,14.34
62,3,36.4,1651.0,7,14.23
63,20,752.15,181.2,51,181.55
64,1,308.04,3714.2,4,11.6
65,1,48.44,1061.3,2,6.02
66,0,43.21,1171.2,2,11.01
67,1,456.45,5702.7,10,20.74
68,0,35.87,1412.3,2,6.68
69,0,39.51,1259.0,1,10.74
70,14,705.36,109.4,37,169.74
71,12,436.18,161.1,37,175.39
72,14,706.82,89.1,39,234.41
73,0,55.74,1477.4,2,12.87
74,2,39.44,1720.8,4,6.91
75,15,545.49,255.5,48,173.2
76,11,645.85,135.3,,272.3
77,2,23.78,1125.8,4,8.35
78,2,27.08,817.0,5,8.54
79,4,496.37,4269.6,8,19.12
80,1,384.99,5409.9,4,25.64
81,0,17.82,1195.1,6,15.01
82,2,31.11,1266.6,3,10.57
83,1,255.76,4859.6,2,6.05
84,0,35.95,1149.9,4,6.49
85,26,428.96,170.7,48,185.39
86,0,31.35,1509.6,4,11.22
87,2,46.2,1257.3,2,6.73
88,0,341.15,4683.2,5,19.51
89,17,907.35,238.1,30,235.99
90,2,29.43,1217.9,4,13.11
91,16,875.74,153.3,41,143.46
92,1,288.19,4925.6,3,16.25
93,9,832.33,78.9,50,262.27
94,19,812.65,92.8,49,209.75
95,1,209.85,6053.0,7,21.55
96,14,661.06,115.6,36,231.15
97,1,44.06,1143.9,5,10.61
98,1,19.26,1208.9,3,12.27
99,,244.63,5205.1,10,26.07
100,0,39.17 MB,1504.3,4,11.83
101,1,34.43,1004.2,1,8.21
102,0,362.64,4197.6,8,19.9
103,0,38.66,-500.0,1,10.01
104,15,539.9 MB,187.6,38,242.87
105,12,601.83,167.8,47,246.02
106,1,38.08,1253.3,5,4.5
107,14,594.17,122.0,47,189.04
108,3,23.4,1633.1,5,7.38
109,8,803.85,144.1,43,195.01
110,1,32.69,950.3,2,16.05
111,3,71.13,745.3,1,14.64
112,1,358.75,3930.2,4,22.25
113,14,861.57,222.1,54,163.86
114,0,24.11,778.0,6,7.71
115,0,320.21,3577.3,8,21.36
116,2,49.09,1318.0,2,11.27
117,4,8.9,995.7,2,6.27
118,1,31.8,1598.7 s,2,5.19
119,0,23.05,1402.4,4,9.56
120,2,49.21,1189.5,3,16.56
121,1,36.31,1754.0,1,11.86
122,0,51.35,1310.6,1,9.21
123,19,909.73,219.8,49,236.64
124,1,51.56 MB,1267.1,2,7.61
125,0,40.89,1535.2,1,8.54
126,1,56.9,1305.6,3,12.14
127,0,320.46 MB,4738.5,10,13.55
128,1,38.11,1313.2,3,10.47
129,0,,1013.1,,12.34
130,19,988.64,176.4,47,203.42
131,4,28.11,1989.7,5,11.9
132,4,34.23,900.5,3,5.89
133,0,273.81,5380.7,5,24.25
134,1,35.36,1115.7,3,11.33
135,3,58.02,1016.2,3,12.94
136,0,25.67,799.4,3,9.92
137,0,41.64,1382.4,4,8.31
138,1,32.29,1016.5,3,7.01
139,0,39.51,816.1,1,9.34
140,1,46.66,1208.1,3,1.0
141,0,39.88,1328.9,2,9.18
142,0,37.63 MB,765.6 s,2,10.08
143,1,471.86,3688.2,3,22.57
144,1,41.49,1224.7,1,5.68
145,1,66.28,472.8,1,9.43
146,2,34.59,1262.5,1,11.23
147,0,25.9,973.4,1,7.87
148,2,1.0,742.3,3,11.89
149,1,50.69,852.5,6,9.13
150,1,301.48,4309.5,7,14.0
151,2,13.62,966.5,7,10.64
152,2,52.54,1185.2,1,10.58
153,1,31.36,1743.7,4,10.57
154,1,45.76,647.7,1,8.61
155,0,407.02,5841.1,8,12.1
156,12,908.28,179.8,47,208.95
157,0,50.29,1304.3,5,11.35
158,3,36.11,1395.1,4,9.98
159,1,328.59,5250.3,6,18.79
160,1,28.65,1367.9,3,8.12
161,0,30.22,1189.6,7,13.82
162,18,856.15,163.4,37,175.56
163,1,313.27,3776.3,5,16.03
164,1,47.56,1516.1 s,3,12.1
165,1,398.66,3801.6,5,13.29
166,3,295.84,5349.1,6,11.34
167,1,39.06,923.0,1,12.62
168,2,9.41,906.5,3,9.93
169,1,421.5,4330.7,9,17.7
170,2,39.01,898.8,2,7.77
171,0,40.53,1236.6,2,13.61
172,1,33.77,1040.7,2,9.88
173,2,405.62,4706.4,5,14.94
174,1,47.95,863.2,3,7.36
